,title + body
3049,"Look at what I wrote, you mojiri hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha”"
3050,I sucked at the institution.
3051,Fair monthly salary
3052,"Institutions and outsiders are picking up for two days in a row, and it seems that there is no business in the face of the stock panic, where the falling head beats the agency and outsiders."
3053,Kakao Ryan's horns ㅋㅋㅋㅋ It's not Anpanman lol
3054,"Please raise dividends, long-term investment"
3055,"I'll keep buying Kakao Drew and Drew, so let's see if you win or I win."
3056,It was really absurd when I was called a beneficiary after the company election that had already ended when the government was changed.
3057,Kakao This is to the extent that the restrooms inside the company are separate and listed separately.
3058,"Finally, the KOSDAQ also renewed the new low The KOSPI broke the new low as foreigners began selling out ahead of the US Federal Open Market Committee. The KOSDAQ also hit a new low after about a year and a half. According to the number, the KOSPI finished trading at a point delay from the previous day. The KOSPI rose to the early market level, then widened its decline and fell until pm. Foreigners net sold 100 billion won in the futures index market, too. Institutions switched to intra-day net buying to ease the burden on the KOSPI. The KOSPI widened its decline from the beginning of the trading session. Concerns about the Fed's giant step increase even though the New York University Index was mixed overnight. As the interest rate on U.S. Treasury bonds and annual bond yields rose to , the burden on growth stocks increased and related stock prices fell, while Kakao and Kakao stocks were pushed back. Investors paid attention to the results of the regular meeting to be announced in Japan In the Asian market, the monthly price of West Texas Intermediate crude oil is trading at an increase of USD per barrel. Silver sold 100 billion won worth of stocks Most of the stocks of companies with market capitalization fell In the exchange-traded fund, the mainland China leverage ratio was strong and the media was weak. has fallen below the line based on the closing price since January, March, and reached a new low. On that day, the trading value of the KOSPI and KOSDAQ stood at KRW 100 trillion and KRW 100 trillion. According to Yonhap Infomax Upbit Comprehensive Screen Number of Upbit, Bitcoin is more than 10,000 more than the previous day. It is trading at 10 million won, down by won."
3059,am a direct disciple of Chairman Yoo Young-doo. I can only say one word from an old woman.
3060,"Create a separate stock market for the Kakao Group by adding a split revision. In China, not Korea."
3061,"If the retention rate is full, why pay a small dividend, not that the cash is piling up"
3062,"They are cheating that they have no plans to sell the mobility. It seems that they are defending the stock price through the media reports, but in the end, Kakao has no intention of continuing the mobility business."
3063,"Don't worry, kids, don't worry"
3064,"Isn't it strange that this is a reasonable price when it's full? They're all dead Chanti, part-timers in charge of washing dishes, check the formula again"
3065,"I, Ida, who invested in Kakao is a complete dog's garbage--Should I take out a professional girl or not?"
3066,"Kakao Monthly Trading Trend Kakao Monthly Trading Trend Analyzed in a Yu Quang-du way Trading volume increased slightly in Manchuria Yesterday, during the Manchurian program market closing period, a total of 10,000 shares were sold, including net purchases. In the afternoon, it reversed to a buying trend and decreased from selling Manchuria to low prices. In this niche in which this is not achieved, foreigners' mass selling in the late afternoon is digested. Taking dollars away from the crash source Manchuria Net Selling Institutions Manchuria Net Buying Chaos Pension Fund Nearly Alone Manchuria Net Selling Private Equity Fund In the meantime Manchuria Net Buying Securities In the meantime Manchuria Net Buying Investments In the midst of bulk selling and buying in large quantities Workshop autobiographical trading In the end Manchuria Net Selling Insurance Shares Net Buying Banks Manchuria Net Selling Others Corporate Stop Loss Net Selling of Manchuria"
3067,"Monthly wage based on 10,000 short-term lows Even if it rebounds tomorrow, the volume will go down. Monthly wage is pointing down. Don't let this company make money. Leave Kakao."
3068,"Today’s selling position, which is under the bountiful family, is making a lot of money kekekekekekeke"
3069,"Let's do a good thing, something dirty must be attached to the cacao."
3070,"Looking at the dividend rate of each Otok, I know the shareholders the best hahahaha"
3071,I'm going up tomorrow
3072,Replying to @Alexis_Channel
3073,It's easy for foreigners to kill a company. This is the Korean stock market.
3074,"The starving man who was cut in half ㅜㅜ cut it baaa, the loss is only a few hundred today"
3075,This can be entered into the million dollar range
3076,It's hard for me to elect the wrong president haha
3077,I came to eat yukgaejang hehe I'll buy it if the dividend is a little too small
3078,"Put it all away, sell Kakao Mobility, buy treasury stock with the money and burn it"
3079,"It's still expensive, but it's not appropriate to pay 10,000 won for an overvalued company."
3080,"Kakao Honest Do you have anything to look forward to lol Kakao Talk Eru business value Nongshim is not enough, and I'm worried about the future as I spend money wandering around at home."
3081,Are you a company that raises chocolate ingredients? The crop is not going to be bad due to heavy rain.
3082,"President Youngdu, please save me, please save me"
3083,"I have to do a rite, a politician, a shaman who also did a rite, boy"
3084,"You can buy it at 10,000 won now and sell it when the president changes next year."
3085,"If the holding company discount is reflected, I will see 10,000 won."
3086,Look at the dividend. It's a bad company.
3087,"It's just the beginning, it hasn't come down yet, look at the market gun"
3088,"I started to include it today, no complaints from black cattle"
3089,"It flows down to the 10,000 won level Don't get wet You can go to the Han River"
3090,Cacao closing price this year
3091,There is no answer for those who have broken their heads who say they are Seon-young and that they will rise from tomorrow.
3092,"Mr. Lee, a good company, a good company every day, buys a good company every time it goes down, Mr. Lee tells me to sell it unconditionally since the end of last year, talking like a vicious Kakao company. Who is right? I think Mr. Lee is right. Gologanda Yeom-ssi Misten shouting to buy cacao if it goes down for over a year hahahahahahahahahahahahahahahaha"
3093,"Please wait until 10,000 won ㅠㅠ Buying prohibited"
3094,"At times like this, if Jung-eun does a nuclear test, it will only break, and the hive will only break."
3095,I'm very curious about the stock market.
3096,Don't buy the ants. Don't buy the ants so they crash together with foreigners.
3097,"Come see me, that's right"
3098,"Buy full when won comes. Last year, when I peaked in the month of month and when I was crazy about ants, I wrote to be careful about buying because I felt cheap so I was buying when the price fell. People who said they were stingy after seeing me that they were going to go down, I don't know if they are holding up well now. Some people say even 10,000 won lol lol I'm going to go, but the global external situation isn't easy, and Uncle Beom-soo's head hurts anyway You can watch it leisurely. Good luck"
3099,Is the skyrocketing not coming? What is going on?
3100,Tomorrow is a storm
3101,"The Nightmare Resurrects Year Month Day Starting on this day, the stock price, which had been down sharply for the past two months due to the corona virus, has been raised since then. Because of this, when the ants who were sold against Stop Loss were devastated and shed tears of blood, they also said that they received a salary of billions of dollars in annual salary including bonuses. Countries have risen, but Korea has been brought down by leaps and bounds. Why is it like this only in Korea? Maybe it is because the market leaders are with them? The prosecution says that the financial and securities crime investigation team has been revived. Whether it's a power or a market leader that eats away the ants' backs, I hope that you will come to the fore. Korea is not a country of power market leaders."
