	제목+본문
4066	빨리 탈출해 탈출은 지능순으로층으로 내려가기전에 빨리 탈출해층도 보장 못한다영양가 없는 카카오
4067	누가 더손해인가외인들 참 같이 죽자 이건가 계속 내릴테면 내려라 끝까지 추매할테니
4068	유회장이 뭐라할지 정말이제 정말 더 궁금해집니다얼마 이하로 안빠진다를 대체 몇번을 하는지ㅠ
4069	아직도 고집 부리고 들고있나만 가봐야 정신 차릴래
4070	망했다잘됐다 굿바이 개카오
4071	앵두님더늦기전에 카카오 팔고 차전으로 갈아타세요 팍팍 ㅋ 아님  분할매수들어가세요 내 말들어 ㅋ
4072	공매도대단하다냉무
4073	개양아치 주식카카오가 도대체 몇개냐 시
4074	비인도적 기업망해야 정상이다 부도 제발 가자
4075	유투브 보구 주식하지마세요개사기꾼임
4076	누가 그러더만ㅡ 탈출은 지능순 이라고자리들은 벌써 손절했는데두자리만 남아있군 어쩌냐
4077	오늘부로털었다 개잡주 폭망해라
4078	과연만대로 무너지나ㄷㄱㄷㄱㄷㄱㄷㄱㄷㄱㄷㄱㄷㄱㄷㄱ
4079	설마 원 깨지진 않겠지에이 설마 ㅎㅎ
4080	켁 만이다올줄은 알았지만 이렇게 빨리 올줄이야
4081	최저임금 문어대갈최저임금 토해내고 손해배상 혀라
4082	손절하니카카오 카카오페이 지난주에 마이너스 정도에 손절하니 마음이 편안하네요 월요일부터 또 떨어지는데 언제까지 떨어지는건지 답이 없네요ㅜㅜ 다들 성투하세요
4083	상징적으로 자 보겠네 멘탈 털리게진짜잣 된 주주들 많다 주식 경력에 이정도로 공포스러운 건 첨이다 엠병
4084	차전지가 주도주라고 앵두말듣지마라 마이너스더보기전에천보 앨엔에프 에코프로비엠 곧 날아가기시작한다 시장이 빠질때 치고올라가는게 주도주다 어휴 ㅋㅋㅋ이래더 카카오를사냐
4085	원
4086	바닥이 어디일까요얼마까지 내려갈지
4087	만천원할때 자 볼거라고 했는데뭐 당연한 결말이라감흥도 없다참고로 아직 멀었다
4088	자가 이렇게 쉽게 무너지네저항선도 없다는이거 만원 까지는 미끄럼틀이네
4089	주식 안사는게 돈버는거라더니그말이 딱이네
4090	껍데기밖에 없는데시총은 왠만한 대기업 몇개는 살수있는 시총이네 ㅋㅋ 완전 장난도 이런장난이 없구만 그렇다고 배당이 높은것도 아니고 ㅋ
4091	일주일 이라니개같네
4092	지금이라도 손절해 다음달다다음달까지 계속 내리막ㅡ미연준 이제 본격 스텝시작이다ㅡ 아직 지금보다 금리 최소 배이상 올린다ㅡ 답없다ㅡ
4093	카카오 지금도 가격 높은거다 머저리들아카카오 적정가 만원인데 지금도 개높은거지거품으로 올랐으면 이제 떨어져야지
4094	피자한판 가격인줄 알고 샀더니자꾸 쪼개서 한조각 가격이었다어느분이 쓴 댓글 공감가네
4095	제가 지난 주 부터 누누이 말씀드리지만만천원 지지 못하면 뒤도 돌아보지말고던져야됩니다원 무너지면 바닥이 없어요
4096	이젠 버틸수 없다고철없던 나의 모습이 얼만큼 의미가 될수 있는지
4097	삼성전자나 카카오나에효막상막하 난형난제 도긴개긴오십보백보 이건 뭐 더이상 할말이 없네
4098	분할전 만원아직도 개거품임지금 주가로 만대와야 코로나전 적정가
4099	만원 겨우 지켰네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4100	카카오 지금도 비싸다년 바닥대비 아지고 배 비싸다성장주라고 겁없이 너무 올랐다성장대비 고평가다
4101	오 만원대아직 멀었음 적정 주가 만천원
4102	올라타지마라단타도 초단타로 가라금리인상은 이 종목 자 볼때까지 하락으로올라타지마라돈 빌려서 투자하는 회사다멀었다
4103	오늘 만대 파는 애들은가지밭에 넘어진 과부로세
4104	손절도실력 ㅋㅋㅋㅋㅋㅋ으이그
4105	와 일봉 실화냐주가 관리 안허냐회사 망한겨내 돈은 어쩔겨니들 그러다 천벌 받아좋은말 할때십만원 맞춰놔라
4106	경축 만ㅎㅎ
4107	액분전가격으로 치면 지금도 만원인데 더 떨어져야지 멍청이들아 ㅋㅋㅋ삼성전자가 만때 갔는데 카카오는 만원은 가야된다
4108	아직멀었다만대도비싸다곧만대온다실화다코스피지수대가온다
4109	미친아씨 마이스너가뭐냐 이런장
4110	트리플 크라운외국인 기관 연기금 다팔고 있네이제부터 폭탄이네
4111	손절하고ㅡ삼전으로 갈아타라ㅡ 올라도 삼전이 먼저오른다ㅡ삼전도 많이내렸으니ㅡ삼전으로 복구하는게 빠르다ㅡ 그래도 삼전은 안망한다ㅡ 하지만 개카오는 망할수있다ㅡ
4112	뻑하면 매도 물량에 물량 올리는 놈 그거 잡아내라고금감원 뭐하냐국민 세금 받고 일 똑바로 안하냐
4113	ㅋㅋ 꼬소하네카카오 오르는거 보고 배 엄청 아팠는데이제 좀 안 아플려고 하네근데 아직도 마이 아파
4114	카카오  비트코인머가 낳죠
4115	아직도 웃는 애들 있는거보니 관망 할 시기이군니들이 울고불고 마포대교에 가는날이 바로 입성할 타이밍이닷 ㅋㅋㅋㅋㅋㅋㅋ
4116	기아 화이팅이제 그만 시총 위내려와 배당도원 ㅋㅋㅋ 쓰레기 임직원들배만 불리는 기업이 시총 위가 말이되냐영준이가 참 대단한 사람이네진정한 먹튀를 보여주었지 ㅎㅎ
4117	경제위기인데서민코스프레 팬까페나 쳐 관리하고 있고진짜 한심하다
4118	 에 들어가
4119	정말 개잡주네답 안나오네 와이건 뭐만원까지 내려가면 를 넘어가는데 어찔해야되나
4120	육구다
4121	햐 정말 쓰레기 개잡주네국민주라 하는 인간들 아가리를 째고싶네국민 피눈물주
4122	앵두가 누구에요정말 몰라서 그런데좀 알르켜주세요알르켜주시면 감사합니다
4123	결국 승자는 서울부동산코스피 ㄹㅇ
4124	부자아빠가 여기  본다역시 천재야 부자아빠님 와도 안산다했어개미가 너무많아대장주 한번 해먹으면 다신 안온대
4125	존리 말듣고 카카오 매수한사람 손존리 사기꾼 이라고 뉴스에 나오던데
4126	전세자금 억만원 진입했는데이거뭐죠하내인생
4127	한은은 금리 얼마나 올릴까 후덜덜
4128	층 확정그런거지
4129	아 실수로 사버렸어요 ㅠㅠ원에 실수로 사버렸어요 ㅠㅠ
4130	인내심 테스트구간모두들 죽을지경 정신건강을위해 당분간컴퓨터 끄고 사는게
4131	지금이라도 손절 주 ㅠㅠ
4132	카카오 보면 민주당 생각남나만 그런가
4133	버틸만하지 저점아니다ㅋㅋㅋ니들이 버틸만하면 저점아니야ㅋㅋㅋㅋ
4134	배당금도 거의 없고 모빌리티는 매각 소문경영진은 먹튀해서 나가고금리인상 기간에 고 우려다 걱정인 주식입니다
4135	내가 산 날이 오르는날ㅋㅋ방금진입함
4136	카카오삼전뭐가 낫냐
4137	윤통은 경제살리기 올인 좀 해라 규제 완화 한다고 홍보좀 하고자국 주식시장 좀 방어 좀 해라
4138	카카오 거품덩어리카카오가 만원할때 카벵 카페 카겜전부 인하우스 있다가 전부 상장했다인하우스에 있다고 해도 만원까지 갈수 있는데전부 분할상장 했으니 얼마나 비싸게 된거냐원 가도 할말없다지금 코스피 코수닥 통털어서 희대의거품주를 매매하고 있다는것 잊지마시길
4139	니미도둑놈들아내릴때는 몇천원씩올라갈때는몇백원씩짜증나네
4140	코스피  예측코스피  예측코스피 코스닥 차 지지선 예측코스피    코스닥    차트분석은 예측과 대응이 필요로 합니다판단은 각자의 몫 입니다일
4141	적정가만원예전만원 그때보다 게임페이뱅크 다 나겄으니
4142	삭제된 게시물의 답글카카오만 가즈아년전 예탁금 들어와서 도박자금 빠져나가네도박 예탁금 금리 프로 들어온다함내년 만원 기다림
4143	나라는 시끌 용산은파티이게나라냐
4144	층 거주자 계신가요층인데 엘리베이터가 내려가는 중이라 언제 올라갈지 모른데요
4145	주가관리좀해라
4146	지금가격에안사지지금시장을봐라이종목만온다지금도비싸지ㅋㅋㅋ
4147	한강 마려운 사람많을듯 힘들 내삼
4148	육카오 다음은 오카오 가즈아기대가크다잉
4149	일단 경영진 면상 자체가 비호감쇄신해라
4150	평단 인데어쩌지 ㄳㄲ
4151	오늘이제일 비싸다
4152	왜자꾸 최저까라고 문자오는겨 액면 분할해도 데 ㅋㅋ미친겨뭐 다분할했잖아카뱅 깡통통장카페 짱께 페이 개나소나 다 페이고또 뭐 모빌리틱 ㅋㅋ 판다매뭔남어 채팅 ㅋㅋㅋ 걍 채팅 회사네
4153	아직도 고가임금리 안올리고 환율 급등 하면 만대로갈거임
4154	응급구조대 안오네지원자가 없어
4155	오늘도 하락하지만 저는 걱정하지 않습니다단 주도 사지않았기 때문이죠
4156	아직도 고평가다잘 쳐줘봐야 만천따리 회사가뭐 주일제 재택근무아주 망해봐야 정신을 차리지조만간 헐값에 전환사채 발행하겠네
4157	지수가 ㄱㅐ 떡락인데오르겠냐 중국 전차만 계속 가네
4158	썩어빠진 기업망해라
4159	이회사는어떻게 해야올라가는거야
4160	대형주 적정주가삼성전자 만원엘지전자 만원하이닉스 만원엘지엔솔 만원네이버 만원카카오 만원삼성 만원엘지화학 만원현대차 만원기아차 만천원셀트리온 만원한미약품 만원금융 만원신한지주 만원하나금융지주 만원삼성생명 만원삼성화재 만삼성에스디에스 만원한국전력 만천원 만천원텔레콤 만원유플러스 만천원내가 작년부터 주구 장창 외치던 가격입니다참고바람이런글 올리는 내가 지겹네요지겨워
4161	주도주 천보 앨엔에프 에코프로비엠어휴 ㅋㅋ카카오를와사가지고 그돈으로 마이너스날빠에 주도주사라 와이프 밥한끼사줄라면
4162	공매도 없애라진짜아진짜
4163	기관아 좀 이럴때 좀 나서봐라같이 공매도 하지말고
4164	대주주가 주식파는회사는 망한회사다대주주가 고점에 주식대량매도했다는건회사에 애정도 없고 성장성도 없는회사라고 생각한다는거다그러니 기술적으로 돈만 끌어모을려고 물적분할 생각만하고이런회사는 대부분 망하더라
4165	유영두를 믿으시오ㅋㅋㅋㅋㅋㅋㅋ유대자금이 만원 밑으로 절대로 떨어지게 안놔둔다고 했음 그래서 저번주도 원에 올리는거 봤냐고 함근데 난 그거 만원 밑으로 떨어질때도 똑같이 들은것 같은데 ㅋㅋㅋㅋ 잠시 만원은 벗어날수는 있다 하지만 유대금융자금이 절대로 만원 밑으로 가게끔 하지 않는다근데 또 저번주에 만원선에서 똑같이 이야기 하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아주 멋찐 형이야 라잇나우난 이형 방송을 주식방송으로 안보고 개그방송으로 보는데 너무 재미있음ㅋㅋ
4166	믿고싶지 않겠지만까지도 열려있내요더 최악의 경우는 프로 더 빠지는거고전 월말에 천에 다 털고 지금 복수의 날만 기다리고 있습니다
4167	지수돼지새끼가 나라 말아먹는다
4168	물리신 개미여러분 모두 동참해주세요뭘 같이 해보자는건데뭘뭘그거 있자나 신나는거 있자나그러니까 그게 뭔데아이 참 나 따라 해봐하나 둘 하나 둘 센네카오 카오 신나는 노래모두 함께 불러보자 ㅋㅋㅋ뭐라고쿵쿵따리 쿵쿵따
4169	층 살려주세요 제발요 ㅜㅜ
4170	아직도 더럽게비싸다물적분활기업이다그거다합쳐봐라네이버에 몇배인지지금 가격은분활안한 가격이지 바보도 아니고이거 는 만까지도 그냥빠질듯
4171	지하실이네카카오만까지 빠질듯
4172	오늘 앵두 뽕두 자두 날강두는 뭐라고 할까요관상은 과학 입니다 여러분
4173	카카오 현시점 문제점돈되는 사업은 순차적 물적분할껍데기만 남은 카카오는 지주회사 그이상의 의미가 없다 물적분할을 서슴없이 하고 주주가치를 훼손하는 회사는 희망이 없단다 탈출해라 당장
4174	대통령 가카께서미연준 압색하면 다 회복될것이다걱정마라
4175	외인자본 유출 꿈틀 대네이번달 눈치보고 다음달 본격적 이든 선제탈출 하든 하겠네
4176	ㅁㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4177	너희들 조짐이마치 년월일서초구 서초동에 있는 백화점 느낌난다흔들리고 감당안될땐어서 빠져나와지이러다 너희들엔지켐생명과학처럼 된다
4178	카카오 왜 이래김범수가 세금 문제도 성공적으로 했고오너들 먹튀 잘 했는데카카오가 윤석열 밀어줘서골목상권 더 빨아먹어도 되고오너 모럴해저드 더 해도 되잖어그런데 주가는 왜 이래
4179	그래서 떨어지면 들어오고 싶어서니 같은 종자들은 그 가격와도 못산다 ㅋㅋㅋ단타로 쪼깨 먹고 신나하다 한방에 가겠지 ㅋㅋㅋ
4180	최고가대비 빠진건가ㄷㄷ
4181	걍 방치네뭐라도 해야 하는 거 아니냐진짜 ㅇㅇㅊ 기업다 됐네주가 방어는 고사하고 약속 했던 자사주 매입은 어케 된겨ㅆㄹㄱ 들
